GeneID	log2(FC)
FBgn0260429	-0.836553536849912
FBgn0035708	-0.403595447535914
FBgn0031688	0.844628575911245
FBgn0039756	0.363990590369041
FBgn0261109	0.512633648687634
FBgn0034970	-0.357998001868499
FBgn0031992	0.591922683318663
FBgn0004387	-0.344980305350084
FBgn0029147	0.496077432502106
FBgn0014029	0.368013074402384
FBgn0013347	0.432366191687364
FBgn0033224	-0.354794589429539
FBgn0010314	0.544250240020481
FBgn0031126	-0.453620883977287
FBgn0039209	-0.493820086654437
FBgn0030305	0.456610745329516
FBgn0025383	-0.728864830662178
FBgn0015288	-0.312666200407572
FBgn0035132	-0.346717670110759
FBgn0031952	-0.439826019861795
FBgn0028394	-0.610946908411007
FBgn0054056	-0.720811093097265
FBgn0031816	0.588523070408914
FBgn0287423	-0.726443633253142
FBgn0038043	0.481909902452133
FBgn0265530	-0.812528323623052
FBgn0086757	-0.392306774615757
FBgn0025683	-0.296125381703211
FBgn0037028	0.51542433464126
FBgn0037718	-0.329695555472022
FBgn0030966	0.511255366450806
FBgn0033153	0.548012887952825
FBgn0261550	-0.33651521080084
FBgn0035766	-0.333452183206662
FBgn0031988	-0.356182206114429
FBgn0038465	-0.334520760107348
FBgn0035850	-0.356196184898051
FBgn0027945	0.539950801940882
FBgn0000139	-0.407340418752925
FBti0060355	0.700802437909536
FBgn0010768	-0.479911418508681
FBgn0003279	-0.330688751196232
FBgn0034221	-0.718157975449128
FBgn0043362	-0.332598331945398
FBgn0286198	-0.404488082997105
FBgn0002780	-0.32033129118857
FBgn0035903	-0.629753131444799
FBgn0035644	-0.474447053368231
FBgn0034403	0.746419185881906
FBgn0000928	0.421550889142527
FBgn0035932	0.817843169288276
FBgn0039590	0.376072654307157
FBgn0033483	-0.28635666198186
FBgn0051216	0.339773192434287
FBgn0261811	0.361641095656484
FBgn0004650	-0.600821613852571
FBgn0050344	-0.395129455868221
FBgn0036290	0.389758136695108
FBgn0032140	0.381211328950938
FBgn0034950	0.669381693985968
FBgn0051098	-0.575098707625128
FBgn0029506	0.390996421540984
FBgn0038745	-0.330120586955365
FBgn0010549	-0.445318892866927
FBti0019249	-0.580490907454539
FBgn0004872	0.394149172179163
FBgn0023129	-0.440454134335642
FBgn0029823	0.356912822238682
FBgn0261445	-0.289028475367642
FBgn0014033	-0.433051130109989
FBgn0053558	0.413505601328127
